
2015_06_26_14_42_823,$Temprature: 31.2903194427 Celciu,Pressure: 103.9308471679 kP,Humidity: 28.1304187774%R,O3 @S2B: 2.0870966911V - 6.9770298004 kohm,CO2: 2.4741933345,NO2 @S3B: 1.5064516067V - 1.0972608375kohm,AP1 @ S4: 1.8709677696V - 40.7110977172kohm,AP2 @S3A: 3.2999999523V - 14.2362928390kohm,
2015_06_26_14_42_131,$Temprature: 30.3225822448 Celciu,Pressure: 103.6864547729 kP,Humidity: 28.3038482666%R,O3 @S2B: 2.0645160675V - 7.2767500877 kohm,CO2: 2.6225805282,NO2 @S3B: 1.4483870506V - 1.2712981700kohm,AP1 @ S4: 1.8709677696V - 40.7110977172kohm,AP2 @S3A: 3.2999999523V - 14.2362928390kohm,
2015_06_26_14_42_063,$Temprature: 32.5806465148 Celciu,Pressure: 103.6864547729 kP,Humidity: 28.6507053375%R,O3 @S2B: 2.1258063316V - 6.4780364036 kohm,CO2: 2.3935482501,NO2 @S3B: 1.4548386573V - 1.2512744665kohm,AP1 @ S4: 1.8516128540V - 41.3501663208kohm,AP2 @S3A: 3.2999999523V - 14.2362928390kohm,
2015_06_26_14_42_978,$Temprature: 32.5806465148 Celciu,Pressure: 103.4420700073 kP,Humidity: 28.3038482666%R,O3 @S2B: 2.0838711261V - 7.0194463729 kohm,CO2: 2.4870967864,NO2 @S3B: 1.5064516067V - 1.0972608375kohm,AP1 @ S4: 1.8322581291V - 42.0027236938kohm,AP2 @S3A: 3.2999999523V - 14.2362928390kohm,
2015_06_26_14_42_894,$Temprature: 32.5806465148 Celciu,Pressure: 103.6864547729 kP,Humidity: 27.7835540771%R,O3 @S2B: 2.1322581768V - 6.3966302871 kohm,CO2: 2.5451612472,NO2 @S3B: 1.4290323257V - 1.3324527740kohm,AP1 @ S4: 1.8290321350V - 42.1128349304kohm,AP2 @S3A: 3.2999999523V - 14.2362928390kohm,
2015_06_26_14_42_809,$Temprature: 31.6129035949 Celciu,Pressure: 103.9308471679 kP,Humidity: 28.1304187774%R,O3 @S2B: 2.0516128540V - 7.4509792327 kohm,CO2: 2.6225805282,NO2 @S3B: 1.4838709831V - 1.1633234024kohm,AP1 @ S4: 1.8548387527V - 41.2427215576kohm,AP2 @S3A: 3.2999999523V - 14.2362928390kohm,
2015_06_26_14_42_741,$Temprature: 31.6129035949 Celciu,Pressure: 103.9308471679 kP,Humidity: 28.1304187774%R,O3 @S2B: 2.0709676742V - 7.1904478073 kohm,CO2: 2.6225805282,NO2 @S3B: 1.4548386573V - 1.2512744665kohm,AP1 @ S4: 1.8612903594V - 41.0289688110kohm,AP2 @S3A: 3.2999999523V - 14.2362928390kohm,
2015_06_26_14_42_672,$Temprature: 31.9354858398 Celciu,Pressure: 104.0530242919 kP,Humidity: 28.4772796630%R,O3 @S2B: 2.1193547248V - 6.5599355697 kohm,CO2: 2.3741936683,NO2 @S3B: 1.4516129493V - 1.2612636089kohm,AP1 @ S4: 1.8612903594V - 41.0289688110kohm,AP2 @S3A: 3.2999999523V - 14.2362928390kohm,
2015_06_26_14_42_587,$Temprature: 30.0000000000 Celciu,Pressure: 102.7089385986 kP,Humidity: 28.1304187774%R,O3 @S2B: 2.0354838371V - 7.6718750000 kohm,CO2: 2.4129030704,NO2 @S3B: 1.5161290168V - 1.0695507526kohm,AP1 @ S4: 1.8612903594V - 41.0289688110kohm,AP2 @S3A: 3.2999999523V - 14.2362928390kohm,
2015_06_26_14_42_503,$Temprature: 31.9354858398 Celciu,Pressure: 102.7089385986 kP,Humidity: 27.9569873809%R,O3 @S2B: 2.0612902641V - 7.3201022148 kohm,CO2: 2.3838708400,NO2 @S3B: 1.5193548202V - 1.0603923797kohm,AP1 @ S4: 1.8677419662V - 40.8166885375kohm,AP2 @S3A: 3.2999999523V - 14.2362928390kohm,
